,peakid,detectiontime,country,net,sta,loc,unit,sta_lat,sta_lon,sta_elv,sep_eqn_sta,strongest_motion,strong_motion_time,strongest_motion_eqn_delay,dt_correction
0,1234476,2020-01-29 12:56:30,usa,CI,BAK,,acc,35.34444,-119.10445,116.0,8.61295511498,0.0498173390924,2020-01-29T12:56:29.082537Z,0.917463,-0.495853633032
1,1234476,2020-01-29 12:56:30,usa,CI,MAG,,acc,35.36165,-118.92282,135.0,8.29246391779,0.00859877178247,2020-01-29T12:56:25.555420Z,4.44458,-0.294579516937
2,7144291,2020-01-22 07:41:16,usa,CE,24944,10,acc,34.2302,-118.2528,479.0,19.724016887,0.0411857403105,2020-01-22T07:41:12.757997Z,3.242003,-2.34200287323
3,7144291,2020-01-22 07:41:16,usa,CI,BLC,,acc,34.24356,-118.67312,607.0,19.0282586013,0.0112278983556,2020-01-22T07:41:15.677760Z,0.32224,-1.6305400727
4,7144291,2020-01-22 07:41:16,usa,CI,DEC,,acc,34.25353,-118.33383,519.0,12.3511933864,0.0320684459404,2020-01-22T07:41:15.963246Z,0.036754,-1.08514730663
5,7144291,2020-01-22 07:41:16,usa,CI,DJJ,,acc,34.10618,-118.45505,268.0,14.7022648474,0.0252761293775,2020-01-22T07:41:15.810445Z,0.189555,-2.1679481573
6,7144291,2020-01-22 07:41:16,usa,CI,HLL,,acc,34.17643,-118.35967,193.0,12.0180575388,0.0474031653025,2020-01-22T07:41:16.001552Z,-0.001552,-1.56674806023
7,7144291,2020-01-22 07:41:16,usa,CI,NOT,,acc,34.22869,-118.55829,247.5,8.50981081548,0.100041398986,2020-01-22T07:41:15.824489Z,0.175511,-0.425510850029
8,7144291,2020-01-22 07:41:16,usa,CI,OAT,,acc,34.34361,-118.61442,1089.0,17.9261857332,0.010870178728,2020-01-22T07:41:15.861350Z,0.13865,-0.766950318239
9,7144291,2020-01-22 07:41:16,usa,CI,Q0080,01,acc,34.092167,-118.401436,176.0,17.2968639351,0.0128711122726,2020-01-22T07:41:15.336017Z,0.663983,-2.59898285248
10,7144291,2020-01-22 07:41:16,usa,CI,QUG,,acc,34.39558,-118.49837,515.0,17.6815300407,0.0232631133961,2020-01-22T07:41:12.936392Z,3.063608,-0.453607869341
11,7144291,2020-01-22 07:41:16,usa,CI,RINB,01,acc,34.28196,-118.47925,304.0,4.97237301928,0.0670401488386,2020-01-22T07:41:15.336443Z,0.663557,0.428143145642
12,7144291,2020-01-22 07:41:16,usa,CI,WNS,00,acc,34.115,-118.38,306.1,15.8464565777,0.0421798542496,2020-01-22T07:41:15.874023Z,0.125977,-2.33427681868
13,7144291,2020-01-22 07:41:16,usa,NP,5425,10,acc,34.27718,-118.55965,362.0,9.58576035759,0.115403689431,2020-01-22T07:41:15.187204Z,0.812796,-0.0227960752605
14,4247840,2020-01-15 07:00:44,usa,BK,BKS,00,acc,37.87622,-122.23558,243.9,8.70931577539,0.00303350211147,2020-01-15T07:00:42.502889Z,1.497111,-0.835503696861
15,4247840,2020-01-15 07:00:44,usa,BK,BRIB,01,acc,37.91932,-122.15269,237.0,14.6165167354,0.00369160977445,2020-01-15T07:00:42.623310Z,1.37669,-1.48669045331
16,4247840,2020-01-15 07:00:44,usa,BK,BRK,00,acc,37.87352,-122.26099,49.4,7.14093569572,0.0083967429019,2020-01-15T07:00:41.219412Z,2.780588,-0.678982459364
17,4247840,2020-01-15 07:00:44,usa,BK,PINL,00,acc,38.01,-122.36602,13.9,10.9572520073,0.00615593459987,2020-01-15T07:00:42.994103Z,1.005897,-0.66589726651
18,4247840,2020-01-15 07:00:44,usa,BK,VAK,00,acc,37.877526,-122.24889,266.0,7.66271876271,0.00663627297809,2020-01-15T07:00:42.136213Z,1.863787,-0.71218007417
19,4247840,2020-01-15 07:00:44,usa,NC,CAG,,acc,37.857269,-122.422661,60.0,11.3848884381,0.048278557385,2020-01-15T07:00:42.009381Z,1.990619,-1.35061929889
20,4247840,2020-01-15 07:00:44,usa,NC,CMC,02,acc,37.781101,-122.176804,52.0,19.731770854,0.00244298230352,2020-01-15T07:00:43.902458Z,0.097542,-2.64754198722
21,4247840,2020-01-15 07:00:44,usa,NC,CPI,,acc,37.988903,-122.215607,203.0,11.9724963663,0.00346455805552,2020-01-15T07:00:43.775485Z,0.224515,-0.834514608633
22,4247840,2020-01-15 07:00:44,usa,NC,CPM,,acc,37.949062,-122.408508,94.0,8.57119112173,0.0376965708587,2020-01-15T07:00:41.111770Z,2.88823,-0.608230338924
23,4247840,2020-01-15 07:00:44,usa,NC,CSPB,,acc,37.957161,-122.311302,208.0,4.3325401953,0.0290312264914,2020-01-15T07:00:41.244250Z,2.75575,0.0542499341675
24,4247840,2020-01-15 07:00:44,usa,NC,CYB,,acc,37.807873,-122.361801,-6.0,12.855882898,0.00475228525273,2020-01-15T07:00:41.812456Z,2.187544,-1.67064387292
25,4247840,2020-01-15 07:00:44,usa,NC,JPR,,acc,37.795269,-122.474953,94.0,19.3889253725,0.00388878297563,2020-01-15T07:00:43.686918Z,0.313082,-2.66308164508
26,4247840,2020-01-15 07:00:44,usa,NC,NCC,,acc,38.001984,-122.47467,104.0,16.5231024136,0.00400562513742,2020-01-15T07:00:42.399656Z,1.600344,-1.69034440248
27,4247840,2020-01-15 07:00:44,usa,NP,1722,10,acc,37.97862,-122.36597,4.0,7.84153696727,0.00971536332345,2020-01-15T07:00:39.318049Z,4.681951,-0.321950747251
28,4247840,2020-01-15 07:00:44,usa,NP,1737,,acc,37.93378,-122.29954,208.0,2.39646531103,0.0473417765926,2020-01-15T07:00:40.698869Z,3.301131,0.0588686684719
29,4247840,2020-01-15 07:00:44,usa,NP,1806,,acc,37.910328,-122.536819,3.0,19.1829203811,0.00835184920423,2020-01-15T07:00:42.587857Z,1.412143,-2.38714260963
30,4247840,2020-01-15 07:00:44,usa,NP,1847,10,acc,38.012856,-122.134583,6.0,19.2832190813,0.0104353326906,2020-01-15T07:00:43.265692Z,0.734308,-1.99430802401
31,4247840,2020-01-15 07:00:44,usa,PB,P181,,acc,37.914547,-122.376755,72.2,5.10550673265,0.0182227230066,2020-01-15T07:00:39.929987Z,4.070013,-0.350013294378
32,4247840,2020-01-15 07:00:44,usa,PB,P224,,acc,37.863895,-122.219063,407.4,10.6776922085,0.00536732164559,2020-01-15T07:00:41.241188Z,2.758812,-1.12881197326
33,8366175,2020-01-01 10:38:43,usa,CE,13577,10,acc,33.928,-117.8032,227.0,17.7960017013,0.0226878051199,2020-01-01T10:38:41.521062Z,1.478938,-0.0989379272974
34,8366175,2020-01-01 10:38:43,usa,CE,13883,10,acc,33.853,-117.857,67.0,8.78025975354,0.015883131497,2020-01-01T10:38:42.465615Z,0.534385,-0.0243854920047
35,8366175,2020-01-01 10:38:43,usa,CE,13884,10,acc,33.7667,-117.9178,28.0,5.73488986896,0.018291716608,2020-01-01T10:38:39.489291Z,3.510709,-0.87070916252
36,8366175,2020-01-01 10:38:43,usa,CI,KML,,acc,33.59738,-117.87909,9.0,19.6845101089,0.00225887599115,2020-01-01T10:38:43.001338Z,-0.001338,-2.12866153054
37,8366175,2020-01-01 10:38:43,usa,CI,NWH,,acc,33.733138,-117.751087,95.8,10.7582543716,0.0952749071519,2020-01-01T10:38:40.884671Z,2.115329,0.77467135683
38,8366175,2020-01-01 10:38:43,usa,CI,OGC,,acc,33.78816,-117.844,64.0,1.96444652233,0.021889795589,2020-01-01T10:38:39.194411Z,3.805589,0.214411428301
39,8366175,2020-01-01 10:38:43,usa,CI,SAN,,acc,33.70432,-117.88578,11.0,8.17514464218,0.00885565668347,2020-01-01T10:38:39.308909Z,3.691091,-0.871091169232
40,8366175,2020-01-01 10:38:43,usa,CI,SRN,,acc,33.82854,-117.78938,208.0,8.68444727645,1.72763990072e-05,2020-01-01T10:37:23.648935Z,79.351065,0.890634987376
41,8366175,2020-01-01 10:38:43,usa,NP,5288,10,acc,33.69729,-118.02485,1.0,17.7633155479,0.00236295889063,2020-01-01T10:38:41.641085Z,1.358915,-2.78891484109
42,5996328,2019-12-21 08:24:43,usa,CI,LRL,,acc,35.47954,-117.68212,1340.0,14.7488268827,0.0532385433096,2019-12-21T08:24:40.606330Z,2.39367,-1.35206259041
43,5996328,2019-12-21 08:24:43,usa,CI,SRT,,acc,35.69235,-117.75051,667.0,11.4710301868,0.0287723314614,2019-12-21T08:24:41.102402Z,1.897598,-1.23589807939
44,5996328,2019-12-21 08:24:43,usa,CI,WBM,,acc,35.60839,-117.89049,892.0,19.9282834132,0.0270890191286,2019-12-21T08:24:42.302044Z,0.697956,-3.37105604264
45,5996328,2019-12-21 08:24:43,usa,GS,CA09,00,acc,35.621552,-117.672348,699.4,1.05664781196,0.131834667599,2019-12-21T08:24:39.504783Z,3.495217,0.00478345572193
46,5996328,2019-12-21 08:24:43,usa,GS,CA10,00,acc,35.56736,-117.667427,835.9,4.97635839989,0.0626136637821,2019-12-21T08:24:39.707000Z,3.293,-0.222999596947
47,5996328,2019-12-21 08:24:43,usa,NP,5419,10,acc,35.64906,-117.66187,689.0,4.17215089535,0.0759896368484,2019-12-21T08:24:39.582154Z,3.417846,0.202154464809
48,5996328,2019-12-21 08:24:43,usa,ZY,SV01,,acc,35.6455,-117.4776,602.0,17.8696063276,1.05649518971,2019-12-21T08:24:37.881805Z,5.118195,2.68680549414
49,5996328,2019-12-21 08:24:43,usa,ZY,SV03,,acc,35.7705,-117.5997,671.0,18.7058621317,0.16286313113,2019-12-21T08:24:39.586777Z,3.413223,0.156776943512
50,5996328,2019-12-21 08:24:43,usa,ZY,SV05,,acc,35.7224,-117.5719,664.0,15.1497688859,0.0810633917492,2019-12-21T08:24:38.793173Z,4.206827,1.07317272861
51,5996328,2019-12-21 08:24:43,usa,ZY,SV07,,acc,35.6976,-117.6032,664.0,11.2763771236,0.0798692803589,2019-12-21T08:24:38.478964Z,4.521036,0.903963825268
52,9631717,2019-12-12 11:13:47,usa,CI,LRL,,acc,35.47954,-117.68212,1340.0,15.2557535485,0.0071544248191,2019-12-12T11:13:46.159443Z,0.840557,-1.83895006078
53,9631717,2019-12-12 11:13:47,usa,CI,SRT,,acc,35.69235,-117.75051,667.0,11.6220985336,0.0283737250154,2019-12-12T11:13:44.222464Z,2.777536,-0.965836271045
54,9631717,2019-12-12 11:13:47,usa,GS,CA09,00,acc,35.621552,-117.672348,699.4,1.07706994912,0.0585842069898,2019-12-12T11:13:46.772662Z,0.227338,-0.0773375124131
55,9631717,2019-12-12 11:13:47,usa,GS,CA10,00,acc,35.56736,-117.667427,835.9,5.42644996897,0.103109663075,2019-12-12T11:13:46.659238Z,0.340762,-0.520761516471
56,9631717,2019-12-12 11:13:47,usa,NP,5419,10,acc,35.64906,-117.66187,689.0,3.65710237837,0.125326873574,2019-12-12T11:13:46.580720Z,0.41928,0.190719942496
57,9631717,2019-12-12 11:13:47,usa,ZY,SV01,,acc,35.6455,-117.4776,602.0,17.0640373372,0.129280200094,2019-12-12T11:13:46.111456Z,0.888544,1.06645631754
58,9631717,2019-12-12 11:13:47,usa,ZY,SV03,,acc,35.7705,-117.5997,671.0,18.0494980662,0.0327855677307,2019-12-12T11:13:46.907908Z,0.092092,0.232908304512
59,9631717,2019-12-12 11:13:47,usa,ZY,SV05,,acc,35.7224,-117.5719,664.0,14.3664982465,0.152958025153,2019-12-12T11:13:46.726496Z,0.273504,0.936495986879
60,9631717,2019-12-12 11:13:47,usa,ZY,SV07,,acc,35.6976,-117.6032,664.0,10.516948628,0.143752096902,2019-12-12T11:13:45.610356Z,1.389644,0.850355896733
61,1698253,2019-12-05 11:57:47,usa,CI,LRL,,acc,35.47954,-117.68212,1340.0,16.6200437921,0.000957223928275,2019-12-05T11:57:46.556632Z,0.443368,-2.43176069998
62,1698253,2019-12-05 11:57:47,usa,CI,SRT,,acc,35.69235,-117.75051,667.0,9.91302246774,0.00387856181344,2019-12-05T11:57:46.251665Z,0.748335,-0.526635055155
63,1698253,2019-12-05 11:57:47,usa,CI,WBM,,acc,35.60839,-117.89049,892.0,19.8271361422,0.000897293135008,2019-12-05T11:57:45.767379Z,1.232621,-2.84572072438
64,1698253,2019-12-05 11:57:47,usa,GS,CA09,00,acc,35.621552,-117.672348,699.4,0.846557719309,0.00999191829357,2019-12-05T11:57:46.022361Z,0.977639,-0.0876389736872
65,1698253,2019-12-05 11:57:47,usa,GS,CA10,00,acc,35.56736,-117.667427,835.9,6.87572947872,0.0116229364896,2019-12-05T11:57:46.150769Z,0.849231,-0.859230687271
66,1698253,2019-12-05 11:57:47,usa,NP,5419,10,acc,35.64906,-117.66187,689.0,2.4321223195,0.032620177152,2019-12-05T11:57:46.001113Z,0.998887,0.301112850352
67,1698253,2019-12-05 11:57:47,usa,ZY,SV01,,acc,35.6455,-117.4776,602.0,17.8017257035,0.0153091339526,2019-12-05T11:57:43.844769Z,3.155231,-0.610230984139
68,1698253,2019-12-05 11:57:47,usa,ZY,SV03,,acc,35.7705,-117.5997,671.0,17.0322446782,0.0129024274499,2019-12-05T11:57:44.098107Z,2.901893,0.033107445343
69,1698253,2019-12-05 11:57:47,usa,ZY,SV05,,acc,35.7224,-117.5719,664.0,13.8204241734,0.0514734952332,2019-12-05T11:57:45.686110Z,1.31389,0.496109530069
70,1698253,2019-12-05 11:57:47,usa,ZY,SV07,,acc,35.6976,-117.6032,664.0,9.88685451951,0.0445246966938,2019-12-05T11:57:45.182566Z,1.817434,0.75256594677
71,7921618,2019-12-05 08:55:37,usa,CI,LRL,,acc,35.47954,-117.68212,1340.0,15.5285932411,0.0120951314669,2019-12-05T08:55:34.826697Z,2.173303,-2.27169634781
72,7921618,2019-12-05 08:55:37,usa,CI,SRT,,acc,35.69235,-117.75051,667.0,10.7869478331,0.0425063910168,2019-12-05T08:55:36.492917Z,0.507083,-0.33538263842
73,7921618,2019-12-05 08:55:37,usa,CI,WBM,,acc,35.60839,-117.89049,892.0,19.8348298581,0.0134233103561,2019-12-05T08:55:34.436083Z,2.563917,-2.62701726079
74,7921618,2019-12-05 08:55:37,usa,GS,CA09,00,acc,35.621552,-117.672348,699.4,0.25732202324,0.0751460341805,2019-12-05T08:55:36.346189Z,0.653811,0.026189318238
75,7921618,2019-12-05 08:55:37,usa,GS,CA10,00,acc,35.56736,-117.667427,835.9,5.77235144862,0.0822389326987,2019-12-05T08:55:36.383472Z,0.616528,-0.72652816322
76,7921618,2019-12-05 08:55:37,usa,NP,5419,10,acc,35.64906,-117.66187,689.0,3.43131128112,0.178037572216,2019-12-05T08:55:36.208850Z,0.79115,0.398850225501
77,7921618,2019-12-05 08:55:37,usa,ZY,SV01,,acc,35.6455,-117.4776,602.0,17.8453013958,0.0929666326089,2019-12-05T08:55:34.099358Z,2.900642,-0.45564200589
78,7921618,2019-12-05 08:55:37,usa,ZY,SV03,,acc,35.7705,-117.5997,671.0,18.0110804748,0.152914955514,2019-12-05T08:55:36.461754Z,0.538246,0.24675396747
79,7921618,2019-12-05 08:55:37,usa,ZY,SV05,,acc,35.7224,-117.5719,664.0,14.5965289978,0.212075966345,2019-12-05T08:55:35.804239Z,1.195761,0.634238736536
80,7921618,2019-12-05 08:55:37,usa,ZY,SV07,,acc,35.6976,-117.6032,664.0,10.6930807436,0.236621524632,2019-12-05T08:55:35.370339Z,1.629661,0.835338832916
81,2384595,2019-10-20 09:17:07,usa,CE,14831,10,acc,33.792,-118.319,32.0,19.5560112034,0.00852131460277,2019-10-20T09:17:05.901550Z,1.09845,-0.598450064174
82,2384595,2019-10-20 09:17:07,usa,CE,14834,10,acc,33.9219,-118.3268,17.0,11.9754209204,0.00489849840521,2019-10-20T09:17:06.132538Z,0.867462,-0.287461566794
83,2384595,2019-10-20 09:17:07,usa,CE,14935,10,acc,33.8675,-118.2618,23.0,9.66611649895,0.00572907194953,2019-10-20T09:17:05.276595Z,1.723405,0.0265954320136
84,2384595,2019-10-20 09:17:07,usa,CI,GVR,,acc,34.04972,-118.11995,141.0,14.4715867575,0.00270228541199,2019-10-20T09:17:06.006279Z,0.993721,-1.16372108942
85,2384595,2019-10-20 09:17:07,usa,CI,LAF,,acc,33.86889,-118.33143,20.0,14.4197769196,0.00947753869677,2019-10-20T09:17:05.601182Z,1.398818,-0.297117622876
86,2384595,2019-10-20 09:17:07,usa,CI,LCG,,acc,34.00033,-118.37794,108.0,18.0134442004,0.001654901656,2019-10-20T09:17:06.658056Z,0.341944,-1.07504361138
87,2384595,2019-10-20 09:17:07,usa,CI,STS,,acc,33.79033,-118.19878,4.0,16.2532028658,0.0182492197265,2019-10-20T09:17:05.975001Z,1.024999,-0.343298568734
88,2384595,2019-10-20 09:17:07,usa,CI,USC,,acc,34.01919,-118.28631,58.0,12.2144270492,0.00319709262585,2019-10-20T09:17:05.628187Z,1.371813,-0.710205737955
89,6370066,2019-10-18 07:19:58,usa,CE,14831,10,acc,33.792,-118.319,32.0,17.6653805017,0.00720623772112,2019-10-18T07:19:55.570538Z,2.429462,-0.649461992828
90,6370066,2019-10-18 07:19:58,usa,CE,14834,10,acc,33.9219,-118.3268,17.0,10.5766783611,0.0177340569459,2019-10-18T07:19:57.329836Z,0.670164,-0.340163880301
91,6370066,2019-10-18 07:19:58,usa,CI,LCG,,acc,34.00033,-118.37794,108.0,17.4746390954,0.00401292575969,2019-10-18T07:19:57.341758Z,0.658242,-1.11134192054
92,6370066,2019-10-18 07:19:58,usa,CI,LGB,,acc,33.9753,-118.14918,42.0,8.14866803563,0.0213793433857,2019-10-18T07:19:55.385165Z,2.614835,-0.393134814679
93,6370066,2019-10-18 07:19:58,usa,CI,USC,,acc,34.01919,-118.28631,58.0,12.5592347643,0.0104610415043,2019-10-18T07:19:57.168782Z,0.831218,-0.749611153276
94,7365476,2019-10-15 05:33:50,usa,BK,BDM,00,acc,37.95397,-121.86554,219.8,16.6772824897,0.0505494929406,2019-10-15T05:33:49.999000Z,0.001,-1.31929971076
95,7365476,2019-10-15 05:33:50,usa,BK,BKS,00,acc,37.87622,-122.23558,243.9,18.7083652402,0.106244287667,2019-10-15T05:33:49.490456Z,0.509544,-1.34793721266
96,7365476,2019-10-15 05:33:50,usa,BK,BRIB,01,acc,37.91932,-122.15269,237.0,9.9934470069,0.621521753808,2019-10-15T05:33:48.139748Z,1.860252,-0.370252256065
